Line-ID,Population,Accession-ID,Species,Race,Latitude,Longitude,Altitude
JSG_LCL_689,J2Teo,JSG_LCL_689,Zea mays ssp. mexicana,Mesa_Central,20.403,-102.904,1550
JSG_LCL_694,J2Teo,JSG_LCL_694,Zea perennis,perennis,19.635,-103.580,2140
JSG_LCL_695,J2Teo,JSG_LCL_695,Zea perennis,perennis,19.635,-103.567,2174
JSG_LCL_704,J2Teo,JSG_LCL_704,Zea mays ssp. parviglumis,Balsas,20.626,-104.418,1442
JSG_LCL_JGRF_586,J2Teo,JSG_LCL_JGRF_586,Zea mays ssp. mexicana,Mesa_Central,20.140,-101.073,2023
JSG_LCL_JRP_702,J2Teo,JSG_LCL_JRP_702,Zea mays ssp. parviglumis,Balsas,20.786,-104.543,1153
JSG_LCL_JRP_MMR_712,J2Teo,JSG_LCL_JRP_MMR_712,Zea perennis,perennis,19.417,-101.938,1385
JSG_RMM_558,J2Teo,JSG_RMM_558,Zea mays ssp. parviglumis,Balsas,19.344,-101.944,1170
JSG_RMM_LCL_471,J2Teo,JSG_RMM_LCL_471,Zea mays ssp. mexicana,Chalco,19.203,-99.566,2595
JSG_RMM_LCL_473,J2Teo,JSG_RMM_LCL_473,Zea mays ssp. parviglumis,Balsas,18.953,-99.503,1901
JSG_RMM_LCL_474,J2Teo,JSG_RMM_LCL_474,Zea mays ssp. mexicana,Balsas,18.975,-99.030,1654
JSG_RMM_LCL_476,J2Teo,JSG_RMM_LCL_476,Zea mays ssp. mexicana,Chalco,19.082,-98.776,2480
JSG_RMM_LCL_480,J2Teo,JSG_RMM_LCL_480,Zea mays ssp. mexicana,Chalco,19.218,-98.869,2280
JSG_RMM_LCL_483,J2Teo,JSG_RMM_LCL_483,Zea mays ssp. parviglumis,Balsas,16.324,-97.033,1272
JSG_RMM_LCL_486,J2Teo,JSG_RMM_LCL_486,Zea mays ssp. parviglumis,Balsas,16.349,-97.021,982
JSG_RMM_LCL_487,J2Teo,JSG_RMM_LCL_487,Zea mays ssp. parviglumis,Balsas,16.982,-99.283,590
JSG_RMM_LCL_495,J2Teo,JSG_RMM_LCL_495,Zea mays ssp. parviglumis,Balsas,18.505,-99.784,1890
JSG_RMM_LCL_511,J2Teo,JSG_RMM_LCL_511,Zea mays ssp. parviglumis,Balsas,18.388,-100.128,1110
JSG_RMM_LCL_514,J2Teo,JSG_RMM_LCL_514,Zea mays ssp. parviglumis,Balsas,19.063,-101.283,832
JSG_RMM_LCL_517,J2Teo,JSG_RMM_LCL_517,Zea mays ssp. parviglumis,Balsas,18.963,-101.058,870
JSG_RMM_LCL_523,J2Teo,JSG_RMM_LCL_523,Zea mays ssp. parviglumis,Balsas,18.842,-100.238,958
JSG_RMM_LCL_524,J2Teo,JSG_RMM_LCL_524,Zea mays ssp. parviglumis,Balsas,18.899,-100.181,1422
JSG_RMM_LCL_534,J2Teo,JSG_RMM_LCL_534,Zea mays ssp. parviglumis,Balsas,19.148,-100.355,1178
JSG_RMM_LCL_536,J2Teo,JSG_RMM_LCL_536,Zea mays ssp. mexicana,Mesa_Central,19.686,-100.633,2102
JSG_RMM_LCL_539,J2Teo,JSG_RMM_LCL_539,Zea mays ssp. parviglumis,Balsas,19.551,-100.918,1342
JSG_RMM_LCL_546,J2Teo,JSG_RMM_LCL_546,Zea mays ssp. parviglumis,Balsas,19.704,-104.819,552
JSG_RMM_LCL_548,J2Teo,JSG_RMM_LCL_548,Zea mays ssp. parviglumis,Balsas,19.772,-104.843,635
JSG_RMM_LCL_551,J2Teo,JSG_RMM_LCL_551,Zea diploperennis,diploperennis,19.591,-104.278,1870
JSG_RMM_LCL_568,J2Teo,JSG_RMM_LCL_568,Zea mays ssp. parviglumis,Balsas,17.172,-99.544,300
JSG_SRV_604,J2Teo,JSG_SRV_604,Zea mays ssp. mexicana,Nabogame,26.228,-106.962,1920
JSG_SRV_606,J2Teo,JSG_SRV_606,Zea mays ssp. mexicana,Nabogame,26.223,-106.932,1951
JSG_SRV_EAM_705,J2Teo,JSG_SRV_EAM_705,Zea mays ssp. mexicana,Durango,24.042,-104.280,1870
JSG_SRV_EAM_708,J2Teo,JSG_SRV_EAM_708,Zea mays ssp. mexicana,Durango,24.024,-104.300,1860
JSG_Y_LOS_142,J2Teo,JSG_Y_LOS_142,Zea mays ssp. parviglumis,Balsas,19.293,-103.081,1460
JSG_Y_LOS_75,J2Teo,JSG_Y_LOS_75,Zea mays ssp. mexicana,Mesa_Central,20.114,-102.896,1700
JSG_Y_RMM_429,J2Teo,JSG_Y_RMM_429,Zea mays ssp. mexicana,Durango,24.085,-104.486,1875
JSG_Y_RMM_438,J2Teo,JSG_Y_RMM_438,Zea mays ssp. mexicana,Mesa_Central,20.075,-102.060,1910
JSG_Y_RMM_440,J2Teo,JSG_Y_RMM_440,Zea mays ssp. mexicana,Mesa_Central,20.103,-101.947,1775
JSG_Y_RMM_444,J2Teo,JSG_Y_RMM_444,Zea mays ssp. mexicana,Mesa_Central,20.035,-101.469,2186
JSG_Y_RMM_447,J2Teo,JSG_Y_RMM_447,Zea mays ssp. mexicana,Mesa_Central,20.169,-101.156,1880
JSG_Y_RMM_450,J2Teo,JSG_Y_RMM_450,Zea mays ssp. mexicana,Mesa_Central,19.891,-101.179,1855
JSG_Y_RMM_457,J2Teo,JSG_Y_RMM_457,Zea mays ssp. parviglumis,Balsas,18.820,-100.916,654
JSG_Y_RMM_458,J2Teo,JSG_Y_RMM_458,Zea mays ssp. parviglumis,Balsas,18.805,-100.946,635
JSG_Y_RMM_463,J2Teo,JSG_Y_RMM_463,Zea mays ssp. mexicana,Chalco,19.422,-101.610,2225
LANDB001,LANDB,CIMMYTMA-010234,Zea mays spp mays,CACAHUACINTLE,19.000,-97.383,2600
LANDB002,LANDB,CIMMYTMA-005460,Zea mays spp mays,TUXPEN,18.350,-100.650,245
LANDB003,LANDB,CIMMYTMA-027432,Zea mays spp mays,,16.750,-92.630,2131
LANDB004,LANDB,CIMMYTMA-025027,Zea mays spp mays,ZAPCHI,16.479,-95.001,28
LANDB005,LANDB,CIMMYTMA-021008,Zea mays spp mays,HEMBRA,29.354,-107.755,2145
LANDB006,LANDB,CIMMYTMA-000645,Zea mays spp mays,CELAYA,29.567,-104.563,798
LANDB007,LANDB,CIMMYTMA-019483,Zea mays spp mays,CONNOR,22.903,-103.478,2019
LANDB008,LANDB,CIMMYTMA-023628,Zea mays spp mays,CONICO,21.933,-100.000,994
LANDB009,LANDB,CIMMYTMA-001535,Zea mays spp mays,CONNOR,20.700,-99.800,2039
LANDB010,LANDB,CIMMYTMA-007026,Zea mays spp mays,TUXPEN,21.200,-105.167,8
LANDB011,LANDB,CIMMYTMA-006081,Zea mays spp mays,CONICO,17.191,-97.867,2338
LANDB012,LANDB,CIMMYTMA-025041,Zea mays spp mays,OLOTIL,16.700,-93.717,547
LANDB013,LANDB,CIMMYTMA-005606,Zea mays spp mays,CACAHU,19.650,-102.267,2287
LANDB014,LANDB,CIMMYTMA-017852,Zea mays spp mays,TUXPEN,18.717,-99.367,952
LANDB015,LANDB,CIMMYTMA-021113,Zea mays spp mays,CELAYA,28.533,-106.633,2141
LANDB016,LANDB,CIMMYTMA-007344,Zea mays spp mays,ONAVEN,29.435,-110.367,390
LANDB017,LANDB,CIMMYTMA-013920,Zea mays spp mays,,17.450,-97.217,2083
LANDB018,LANDB,CIMMYTMA-017793,Zea mays spp mays,,17.083,-89.133,97
LANDB019,LANDB,CIMMYTMA-021313,Zea mays spp mays,CELAYA,21.017,-102.167,2055
LANDB020,LANDB,CIMMYTMA-007076,Zea mays spp mays,BOFO,21.717,-104.883,177
LANDB021,LANDB,CIMMYTMA-016642,Zea mays spp mays,CELAYA,21.883,-101.583,2213
LANDB022,LANDB,CIMMYTMA-023971,Zea mays spp mays,BOFO,22.274,-104.470,648
LANDB023,LANDB,CIMMYTMA-021154,Zea mays spp mays,CONNOR,28.550,-107.500,2046
LANDB024,LANDB,CIMMYTMA-000449,Zea mays spp mays,TUXPEN,28.270,-100.726,356
LANDB025,LANDB,CIMMYTMA-013771,Zea mays spp mays,,21.483,-101.217,2091
LANDB026,LANDB,CIMMYTMA-003266,Zea mays spp mays,TEPECI,21.100,-97.750,88
LANDB027,LANDB,CIMMYTMA-021332,Zea mays spp mays,CELAYA,20.817,-102.667,2017
LANDB028,LANDB,CIMMYTMA-025845,Zea mays spp mays,TUXPEN,21.517,-98.383,42
LANDB029,LANDB,CIMMYTMA-025151,Zea mays spp mays,,20.176,-100.139,2674
LANDB030,LANDB,CIMMYTMA-025289,Zea mays spp mays,,20.800,-104.400,800
LANDB031,LANDB,CIMMYTMA-005613,Zea mays spp mays,MUSHIT,19.499,-101.583,2280
LANDB032,LANDB,CIMMYTMA-003229,Zea mays spp mays,TUXPEN,20.320,-96.870,5
LANDB033,LANDB,CIMMYTMA-018374,Zea mays spp mays,,19.970,-99.520,2418
LANDB034,LANDB,CIMMYTMA-002345,Zea mays spp mays,TUXPEN,19.855,-96.708,372
LANDB035,LANDB,CIMMYTMA-007937,Zea mays spp mays,GORDO,29.650,-108.250,2141
LANDB036,LANDB,CIMMYTMA-007294,Zea mays spp mays,TABPER,28.975,-109.395,454
LANDB037,LANDB,CIMMYTMA-013374,Zea mays spp mays,CONNOR,24.470,-104.121,2030
LANDB038,LANDB,CIMMYTMA-000861,Zea mays spp mays,CHAPAL,24.824,-107.460,46
LANDB039,LANDB,CIMMYTMA-001398,Zea mays spp mays,CHALQUENO,19.683,-99.133,2256
LANDB041,LANDB,CIMMYTMA-000554,Zea mays spp mays,CELAYA,21.017,-101.250,2064
LANDB042,LANDB,CIMMYTMA-000547,Zea mays spp mays,TUXPEN,21.445,-99.632,562
LANDB045,LANDB,CIMMYTMA-008102,Zea mays spp mays,PALOME,19.710,-97.240,2220
LANDB046,LANDB,CIMMYTMA-007015,Zea mays spp mays,TUXPEN,20.317,-105.333,655
LANDB047,LANDB,CIMMYTMA-014017,Zea mays spp mays,,23.133,-101.117,2043
LANDB048,LANDB,CIMMYTMA-018888,Zea mays spp mays,TABLON,22.417,-105.462,11
LANDB049,LANDB,CIMMYTMA-020218,Zea mays spp mays,BOLITA,16.900,-96.267,2164
LANDB050,LANDB,CIMMYTMA-016261,Zea mays spp mays,,17.561,-101.262,52
LANDB051,LANDB,CIMMYTMA-026945,Zea mays spp mays,,19.317,-97.917,2492
LANDB052,LANDB,CIMMYTMA-000686,Zea mays spp mays,TUXPEN,18.590,-95.437,30
LANDB053,LANDB,CIMMYTMA-007584,Zea mays spp mays,CONICO,19.283,-98.433,2261
LANDB054,LANDB,CIMMYTMA-023180,Zea mays spp mays,,19.332,-103.732,720
LANDB056,LANDB,CIMMYTMA-020752,Zea mays spp mays,CONICO,21.062,-98.870,436
LANDB057,LANDB,CIMMYTMA-015032,Zea mays spp mays,,-17.550,-65.833,2725
LANDB058,LANDB,CIMMYTMA-016874,Zea mays spp mays,,-17.898,-63.308,516
LANDB059,LANDB,CIMMYTMA-018202,Zea mays spp mays,,-8.563,-77.773,3412
LANDB060,LANDB,CIMMYTMA-014578,Zea mays spp mays,,-8.445,-76.472,580
LANDB061,LANDB,CIMMYTMA-024949,Zea mays spp mays,,-17.451,-70.051,3206
LANDB062,LANDB,CIMMYTMA-011857,Zea mays spp mays,,-18.346,-59.591,613
LANDB063,LANDB,CIMMYTMA-015009,Zea mays spp mays,AYZUMA,-18.183,-65.083,2520
LANDB064,LANDB,CIMMYTMA-011854,Zea mays spp mays,POJOSO,-18.965,-57.828,120
LANDB065,LANDB,CIMMYTMA-008025,Zea mays spp mays,,-23.200,-65.350,2973
LANDB066,LANDB,CIMMYTMA-014287,Zea mays spp mays,CUBAAM,-22.538,-64.405,559
LANDB067,LANDB,CIMMYTMA-014359,Zea mays spp mays,AYZUMA,-21.367,-65.233,2900
LANDB068,LANDB,CIMMYTMA-014283,Zea mays spp mays,CUBAAM,-21.917,-63.667,640
LANDB069,LANDB,CIMMYTMA-012291,Zea mays spp mays,,-12.635,-74.865,3263
LANDB070,LANDB,CIMMYTMA-009022,Zea mays spp mays,PIRICI,-12.624,-73.095,751
LANDB071,LANDB,CIMMYTMA-024894,Zea mays spp mays,,-6.550,-78.650,2391
LANDB073,LANDB,CIMMYTMA-024925,Zea mays spp mays,SNJERO,-11.904,-75.322,3315
LANDB074,LANDB,CIMMYTMA-009025,Zea mays spp mays,ENANO,-12.000,-70.250,234
LANDB076,LANDB,CIMMYTMA-026034,Zea mays spp mays,,-10.333,-74.900,252
LANDB077,LANDB,CIMMYTMA-022843,Zea mays spp mays,SABANE,5.400,-73.101,2150
LANDB078,LANDB,CIMMYTMA-019738,Zea mays spp mays,,5.320,-74.920,840
LANDB080,LANDB,CIMMYTMA-008993,Zea mays spp mays,COLORA,-8.597,-78.732,14
LANDB081,LANDB,CIMMYTMA-024848,Zea mays spp mays,KELLU,-20.816,-66.216,3937
LANDB082,LANDB,CIMMYTMA-014383,Zea mays spp mays,CUBAAM,-20.680,-63.292,755
LANDB083,LANDB,CIMMYTMA-021797,Zea mays spp mays,MISHCA,-0.148,-78.458,2890
LANDB084,LANDB,CIMMYTMA-017379,Zea mays spp mays,,-1.066,-80.440,36
LANDB085,LANDB,CIMMYTMA-024902,Zea mays spp mays,,-13.951,-71.745,3061
LANDB086,LANDB,CIMMYTMA-016818,Zea mays spp mays,,-14.660,-75.219,236
LANDB087,LANDB,CIMMYTMA-012440,Zea mays spp mays,,-4.636,-79.710,2641
LANDB088,LANDB,CIMMYTMA-026035,Zea mays spp mays,,-4.873,-80.711,49
LANDB089,LANDB,CIMMYTMA-024483,Zea mays spp mays,PISING,-23.534,-65.765,3488
LANDB090,LANDB,CIMMYTMA-026714,Zea mays spp mays,PERLIT,-23.780,-61.480,175
LANDB091,LANDB,CIMMYTMA-013311,Zea mays spp mays,MEZCLA,-3.620,-79.237,2497
LANDB092,LANDB,CIMMYTMA-010248,Zea mays spp mays,,-2.761,-79.747,2
LANDB093,LANDB,CIMMYTMA-014996,Zea mays spp mays,MOROCH,-20.783,-64.767,3100
LANDB094,LANDB,CIMMYTMA-014311,Zea mays spp mays,APERLA,-21.550,-64.127,920
LANDB099,LANDB,CIMMYTMA-018676,Zea mays spp mays,,-16.500,-68.150,3929
LANDB100,LANDB,CIMMYTMA-028912,Zea mays spp mays,CUBAAM,-17.417,-60.667,324
LANDB101,LANDB,CIMMYTMA-012085,Zea mays spp mays,,-9.385,-77.240,3524
LANDB102,LANDB,CIMMYTMA-014588,Zea mays spp mays,,-9.029,-75.513,306
LANDB103,LANDB,CIMMYTMA-012231,Zea mays spp mays,CHUNCH,-13.650,-72.900,2154
LANDB104,LANDB,CIMMYTMA-017281,Zea mays spp mays,,-14.390,-65.195,149
LANDB105,LANDB,CIMMYTMA-012342,Zea mays spp mays,SHAJAT,-7.804,-78.042,3217
LANDB106,LANDB,CIMMYTMA-026062,Zea mays spp mays,,-7.174,-76.693,269
LANDB107,LANDB,CIMMYTMA-018242,Zea mays spp mays,PISCCO,-13.420,-72.209,3326
LANDB108,LANDB,CIMMYTMA-016832,Zea mays spp mays,,-12.733,-76.467,260
LANDB109,LANDB,MENDEZ,Zea mays spp mays,ElCon,19.217,-99.029,2520
LANDB110,LANDB,MENDEZ,Zea mays spp mays,Con,19.303,-99.034,2262
LANDB111,LANDB,MENDEZ,Zea mays spp mays,VA8H,19.303,-99.034,2261
LANDB112,LANDB,MENDEZ,Zea mays spp mays,Con,19.200,-99.130,2565
LANDB113,LANDB,MENDEZ,Zea mays spp mays,ElChal-ElCon,19.212,-99.193,2842
LANDB114,LANDB,MENDEZ,Zea mays spp mays,Cah-ElChal,19.211,-99.145,2798
LANDB115,LANDB,MENDEZ,Zea mays spp mays,Cah,19.189,-99.168,2849
LANDB116,LANDB,MENDEZ,Zea mays spp mays,Cah,19.205,-99.158,2815
LANDB117,LANDB,MENDEZ,Zea mays spp mays,Chal,19.237,-98.984,2242
LANDB118,LANDB,MENDEZ,Zea mays spp mays,Chal,19.176,-99.075,2852
LANDB119,LANDB,MENDEZ,Zea mays spp mays,Chal,19.193,-99.083,2725
LANDB120,LANDB,MENDEZ,Zea mays spp mays,Chal,19.189,-99.067,2651
LANDB121,LANDB,MENDEZ,Zea mays spp mays,Chal,19.193,-99.083,2726
LANDB122,LANDB,MENDEZ,Zea mays spp mays,Chal-Mej,19.167,-99.025,2793
LANDB123,LANDB,MENDEZ,Zea mays spp mays,Con,19.186,-99.097,2856
LANDB124,LANDB,MENDEZ,Zea mays spp mays,Chal-Pal,19.189,-99.095,2789
LANDB125,LANDB,MENDEZ,Zea mays spp mays,Chal-Pal,19.188,-99.095,2789
LANDB126,LANDB,MENDEZ,Zea mays spp mays,ElChal-ElCon,19.188,-99.107,2797
LANDB127,LANDB,MENDEZ,Zea mays spp mays,ElCon,19.165,-98.988,2669
LANDB128,LANDB,MENDEZ,Zea mays spp mays,ElCon,19.165,-98.988,2670
LANDB129,LANDB,MENDEZ,Zea mays spp mays,Con,19.217,-99.093,2567
LANDB130,LANDB,MENDEZ,Zea mays spp mays,Con,19.215,-99.093,2565
LANDB131,LANDB,MENDEZ,Zea mays spp mays,ElChal-Cah,19.173,-98.957,2753
LANDB132,LANDB,MENDEZ,Zea mays spp mays,Chal,19.237,-98.984,2242
LANDB133,LANDB,MENDEZ,Zea mays spp mays,ElChal-Chal,19.182,-98.974,2540
LANDB134,LANDB,MENDEZ,Zea mays spp mays,ElCon-ElChal,19.187,-99.118,2780
LANDB135,LANDB,MENDEZ,Zea mays spp mays,Chal,19.236,-99.025,2502
LANDB136,LANDB,MENDEZ,Zea mays spp mays,Chal-Con,19.300,-98.994,2289
LANDB137,LANDB,MENDEZ,Zea mays spp mays,Cah,19.232,-99.211,2930
LANDB138,LANDB,CIMMYTMA-000266,Zea mays spp mays,ZAPCHI,16.580,-94.602,79
LANDB139,LANDB,CIMMYTMA-003176,Zea mays spp mays,COMUN,4.517,-75.633,1535
LANDB140,LANDB,CIMMYTMA-003138,Zea mays spp mays,ANDAQU,,,500
LANDB141,LANDB,CIMMYTMA-003202,Zea mays spp mays,PUYA,10.000,-74.000,27
LANDB142,LANDB,CIMMYTMA-003190,Zea mays spp mays,COSTEN,8.317,-75.150,30
LANDB143,LANDB,CIMMYTMA-000743,Zea mays spp mays,TEPECI,15.421,-92.900,35
LANDB145,LANDB,CIMMYTMA-005616,Zea mays spp mays,MUSHIT,19.520,-101.730,2188
LANDB146,LANDB,CIMMYTMA-005618,Zea mays spp mays,MUSHIT,19.280,-101.630,2293
LANDB147,LANDB,CIMMYTMA-009187,Zea mays spp mays,CHALQU,19.520,-101.220,2229
LANDB148,LANDB,CIMMYTMA-001456,Zea mays spp mays,CHALQU,19.670,-101.920,2430
LANDB150,LANDB,CIMMYTMA-005331,Zea mays spp mays,TUXPEN,19.630,-102.500,1298
LANDB152,LANDB,CIMMYTMA-005599,Zea mays spp mays,MUSHIT,19.570,-102.270,2416
LANDB154,LANDB,CIMMYTMA-001467,Zea mays spp mays,CONICO,19.650,-100.590,2180
LANDB158,LANDB,CIMMYTMA-016007,Zea mays spp mays,CONICO,19.350,-99.800,2636
LANDB159,LANDB,CIMMYTMA-019359,Zea mays spp mays,CONICO,19.030,-100.030,1956
LANDB160,LANDB,CIMMYTMA-001374,Zea mays spp mays,PALOME,18.970,-99.400,2445
LANDB161,LANDB,CIMMYTMA-001531,Zea mays spp mays,PALOME,19.540,-97.250,2451
LANDB163,LANDB,CIMMYTMA-005626,Zea mays spp mays,ARROAM,19.510,-97.200,3017
LANDB164,LANDB,CIMMYTMA-005638,Zea mays spp mays,ARROAM,19.620,-97.170,2552
LANDB165,LANDB,CIMMYTMA-016446,Zea mays spp mays,PALOME,19.280,-97.330,2514
LANDB166,LANDB,CIMMYTMA-002500,Zea mays spp mays,SALVAD,14.860,-92.080,233
LANDB203,LANDB,CIMMYTMA-001479,Zea mays spp mays,TABLON,19.983,-102.300,1568
LANDB205,LANDB,CIMMYTMA-020244,Zea mays spp mays,BOLITA,17.061,-96.810,1626
LANDB209,LANDB,CIMMYTMA-000250,Zea mays spp mays,BOLITA,16.826,-96.676,1526
LANDB210,LANDB,CIMMYTMA-021086,Zea mays spp mays,PERLA,29.260,-107.423,1861
LANDB211,LANDB,CIMMYTMA-006939,Zea mays spp mays,REVENT,22.395,-103.737,1358
LANDB213,LANDB,CIMMYTMA-000787,Zea mays spp mays,,16.329,-91.943,1494
LANDB215,LANDB,CIMMYTMA-006802,Zea mays spp mays,TUXPEN,28.612,-105.979,1425
LANDB219,LANDB,CIMMYTMA-006837,Zea mays spp mays,TABLON,28.967,-107.833,1870
LANDB225,LANDB,CIMMYTMA-019986,Zea mays spp mays,MUSHIT,19.083,-97.033,1486
LANDB227,LANDB,CIMMYTMA-021092,Zea mays spp mays,CELAYA,28.933,-107.567,1953
LANDB237,LANDB,CIMMYTMA-014214,Zea mays spp mays,AYZUMA,-17.951,-64.767,1800
LANDB238,LANDB,CIMMYTMA-014575,Zea mays spp mays,,-5.931,-77.237,1000
LANDB242,LANDB,CIMMYTMA-028568,Zea mays spp mays,AM8HIL,-22.279,-64.689,1548
LANDB243,LANDB,CIMMYTMA-018195,Zea mays spp mays,MORCAJ,-6.633,-78.250,1730
LANDB247,LANDB,CIMMYTMA-012388,Zea mays spp mays,,-5.330,-79.431,1978
LANDB248,LANDB,CIMMYTMA-014823,Zea mays spp mays,,-20.267,-64.084,1244
LANDB249,LANDB,CIMMYTMA-015733,Zea mays spp mays,,0.085,-78.743,1563
LANDB250,LANDB,CIMMYTMA-017308,Zea mays spp mays,,-14.650,-68.591,1920
LANDB253,LANDB,CIMMYTMA-014335,Zea mays spp mays,PATILL,-21.400,-64.700,1890
LANDB254,LANDB,CIMMYTMA-015732,Zea mays spp mays,,-1.399,-78.426,1837
LANDB271,LANDB,CIMMYTMA-001312,Zea mays spp mays,CANILL,18.559,-74.264,167
LANDB273,LANDB,CIMMYTMA-001326,Zea mays spp mays,CHANDE,18.059,-66.399,160
LANDB274,LANDB,CIMMYTMA-001334,Zea mays spp mays,STCROI,17.718,-64.707,31
LANDB275,LANDB,CIMMYTMA-002428,Zea mays spp mays,TUSON,21.200,-76.617,11
LANDB276,LANDB,CIMMYTMA-002438,Zea mays spp mays,FTCUBA,22.417,-83.733,79
LANDB278,LANDB,CIMMYTMA-002445,Zea mays spp mays,FTCUBA,20.677,-75.729,20
LANDB279,LANDB,CIMMYTMA-002458,Zea mays spp mays,CANILL,12.200,-61.630,63
LANDB282,LANDB,CIMMYTMA-002674,Zea mays spp mays,AVMORO,-23.917,-51.867,339
